"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U7";"MODULE_ESP32-DEVKITC";1;"ESP32";;;
2;"U5";"3pin_holes";1;"DS18B20-water";;;
3;"R1,R2";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";2;"2.2k";;;
4;"J4,J5,J1,J2";"connector_3p";4;"Conn_01x03_Pin";;;
5;"U2";"3pin_holes";1;"TEMT6000";;;
6;"U8";"connector_6p";1;"Relay module";;;
7;"J6,J3";"connector_2p";2;"Conn_01x02_Pin";;;
8;"U6";"3pin_holes";1;"Water Level Sensor";;;
9;"U3";"3pin_holes";1;"DS18B20-air";;;
10;"U4";"3pin_holes";1;"Turbidity sensor";;;
11;"U1";"5pin_holes";1;"GY-8511 UV sensor";;;
