"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length";"Track Length";"Die Length";"Net Length";"F.Cu";"B.Cu";
001;"+5V";2;1;1.6000 mm;36.9458 mm;0.0000 mm;38.5458 mm;30.4289 mm;6.5168 mm;
002;"/Temp_out";2;4;6.4000 mm;106.2442 mm;0.0000 mm;112.6442 mm;62.6944 mm;43.5498 mm;
003;"GND";5;8;12.8000 mm;158.6912 mm;0.0000 mm;171.4912 mm;73.4497 mm;85.2415 mm;
004;"+3.3V";4;2;3.2000 mm;65.8150 mm;0.0000 mm;69.0150 mm;8.3388 mm;57.4762 mm;
005;"/UV_out";2;4;6.4000 mm;91.8094 mm;0.0000 mm;98.2094 mm;48.8913 mm;42.9182 mm;
006;"/Brightness_out";2;4;6.4000 mm;94.4588 mm;0.0000 mm;100.8588 mm;51.4313 mm;43.0275 mm;
007;"/UV_ref";2;3;4.8000 mm;105.0883 mm;0.0000 mm;109.8883 mm;61.1538 mm;43.9345 mm;
008;"/Water_temp_out";3;3;4.8000 mm;72.5599 mm;0.0000 mm;77.3599 mm;26.5573 mm;46.0026 mm;
009;"/Turbidity_out";2;0;0.0000 mm;10.9145 mm;0.0000 mm;10.9145 mm;0.0000 mm;10.9145 mm;
018;"/Water_level_out";2;1;1.6000 mm;80.7209 mm;0.0000 mm;82.3209 mm;43.5137 mm;37.2073 mm;
040;"/Water_Level_Power";2;3;4.8000 mm;125.5482 mm;0.0000 mm;130.3482 mm;65.5681 mm;59.9801 mm;
